1892;3147;658;26
1872;3163;688;43
1890;3566;711;28
1826;3284;608;22
2068;3610;683;25
1801;3175;630;21
1844;3718;706;30
1838;3131;729;24
1864;3108;671;42
1837;2802;669;45
1807;3354;700;26
1919;3076;692;45
1857;3156;676;25
2071;3238;639;23
1968;3163;718;27
1825;3271;607;23
1825;3407;706;23
1953;3727;736;27
1847;3509;701;41
1921;3300;672;25
1827;2986;647;26
2100;3176;639;26
1991;3352;757;33
2013;3360;697;25
2287;4123;824;32
1855;3447;723;25
1941;2992;721;46
2043;3454;655;23
1870;2714;655;23
1837;3055;622;27
1823;2693;653;24
1901;3310;659;30
1986;3325;748;24
2008;3088;671;26
1871;3140;624;44
2251;3428;834;40
1850;3161;614;25
1881;3561;1230;27
1879;3778;755;33
1826;3159;663;25
1887;3001;676;26
1857;3415;640;26
1843;3203;727;24
2025;3629;753;29
1866;3140;614;26
1789;3420;725;30
1921;3736;679;25
1908;3609;693;22
2107;4155;653;25
1798;3077;682;28
1812;3264;721;26
1811;3157;689;29
1863;3187;684;25
1821;3290;627;28
1843;3458;662;23
1913;3365;785;23
1824;3106;653;25
1818;2983;682;23
2270;5733;997;40
1871;3817;815;29
1936;4787;897;39
1826;3554;739;26
1870;3921;1127;36
2397;3808;854;31
1875;4213;757;29
1839;4171;737;27
1826;2975;629;25
1807;3064;719;42
1811;3427;745;26
1826;2778;836;24
1885;3317;706;25
1867;3171;636;33
1822;2647;642;23
1843;3159;650;21
1799;3262;736;40
1826;3316;733;23
1827;3125;655;23
1833;3327;668;25
1932;2767;727;22
1837;3384;658;24
1770;2615;669;24
2042;3406;730;23
1869;3089;686;43
1902;3493;705;30
1910;3500;770;35
1895;3054;674;30
1817;2979;693;21
1897;2778;666;22
1824;3058;642;26
1883;2991;739;29
1908;2913;764;23
1817;2656;626;30
1824;2699;643;35
1786;3243;785;26
1820;3081;651;21
1845;3231;712;23
1826;3306;635;25
1984;3318;685;27
1834;3044;676;43
1836;3227;693;33
2011;3131;708;31
1822;3471;715;30
1823;3139;692;25
2088;3205;764;44
1816;2943;658;23
1826;3372;673;24
1961;3162;726;42
1868;3109;695;23
2015;3259;595;25
1858;3064;738;28
1817;3030;654;28
1898;3157;686;32
2065;3419;694;26
1869;3013;593;26
2215;3264;665;27
1909;3195;626;25
1830;3258;669;24
2003;3102;591;27
1989;3248;702;32
1973;3028;592;26
1848;3424;773;40
1106;728;441;21
2026;3046;619;25
1899;3182;626;25
1831;3194;644;27
1883;3155;624;27
1820;3074;627;24
1968;2958;656;23
2306;42392;805;33
1816;3022;686;26
1882;3231;677;29
1935;3117;657;23
1828;2973;611;25
1893;4819;1063;64
1870;3155;655;25
1035;329;538;19
1807;3007;635;26
1993;3196;721;26
1804;2956;633;25
1868;3013;586;23
1827;3067;680;26
4381;3200;614;25
1833;3719;747;32
1834;3143;683;22
2066;3124;595;26
1817;3011;669;21
1869;3389;687;24
1787;2949;642;25
1816;3144;657;30
1785;2988;617;26
1941;3297;716;30
1812;3095;583;25
1989;3378;685;27
1839;2900;724;22
1855;2928;676;26
2016;3326;625;25
1154;881;513;42
1797;3049;692;25
1848;3012;705;25
1886;3443;838;20
1812;2710;692;21
2023;3163;666;23
1835;2707;687;27
1852;3121;631;25
1920;3254;627;25
1846;3306;709;28
1827;3144;690;30
1804;3242;762;44
1885;2999;619;24
1801;3175;696;26
1810;3020;629;24
1833;3407;721;21
1826;2881;648;20
1882;3088;667;25
1990;3057;642;21
1911;3263;693;30
1845;3111;623;22
1854;3031;645;25
1964;3109;602;25
1918;3165;613;35
1850;2976;609;23
1813;3018;600;25
2014;3316;602;23
1966;3153;586;24
1882;3240;749;32
1802;2940;617;24
1843;2950;631;25
1884;3179;630;22
1922;2996;694;25
1937;3118;687;26
1822;2948;606;22
1813;3054;595;25
1959;2914;706;26
1850;3146;655;26
1839;3021;625;42
1893;3421;723;21
1876;3100;674;26
1986;3106;647;30
1990;3230;606;27
1875;3086;661;26
1834;3124;642;25
1893;2953;628;25
1906;3252;687;29
2166;3482;697;23
1932;3000;641;25
1146;723;520;22
2008;3120;628;23
1909;3323;774;29
1863;3162;635;26
2297;3171;713;23
1971;3192;651;25
1908;3271;651;26
1818;3056;650;26
1820;3082;604;22
2178;3091;617;25
1855;3314;711;27
1835;3286;645;26
1810;3026;644;26
2011;3124;616;24
1808;2987;577;25
1827;2767;656;25
1824;3000;611;25
2247;3242;655;30
1136;398;465;22
1823;3154;599;27
1840;3066;602;22
1861;3023;613;23
1783;3011;624;24
2045;3157;601;23
1873;3044;671;43
1821;3425;723;22
1860;3175;665;22
1805;2982;634;24
1848;3327;641;22
1941;2960;702;24
2014;3279;638;22
1849;3051;668;26
1793;2925;610;24
1893;3109;624;27
2723;3692;942;28
1834;3132;668;25
2245;3785;725;34
1833;3130;674;25
1848;3202;663;30
2314;7084;1300;122
1873;3007;627;24
2350;8847;1216;103
1824;3121;725;28
1862;2977;610;25
1814;3139;660;22
943;348;469;19
